Alex;Grey;fhjhgfh@nfn.by;ADMIN;PROVIDER;65354655;676676;53656565
Will;Smith;aasasafh@nfn.by;ADMIN;PROVIDER;111111;;434555
Sam;White;sadsdasdasd@hgh.com;ADMIN;PROVIDER;24UK674;;3455
Rob;Black;jkjllj@kllk.com;ADMIN;PROVIDER;52NV863;;355
Steph;Brown;zxcxzcc@xcz.com;ADMIN;PROVIDER;80RL561;;3545
trjjh;hsddsr;jkjkghgh@hjh.de;ADMIN;PROVIDER;jfkkjkg;ghghfgf;ghgh
вася;пал;рпрпр@hjhhj.com;USER;USER;232342342;3445343;9898988
11;1;1@1.1;USER;EMPTY;111;1111;11111
2;2;2@2.2;USER;PROVIDER;22222;22;222
3;выпп;5;SUPER_ADMIN;EMPTY;375291234567;375291234567;аии
fdbdfb;cfnj;dafsd@hagfg.r;EMPTY;USER;375283692581;375291234567;375369874561
